"SF110168.date","SF110168.value"
2000-01-01,33688.51
2000-02-01,33381.64
2000-03-01,36434.948
2000-04-01,34748.768
2000-05-01,33623.828
2000-06-01,33062.201
2000-07-01,34409.543
2000-08-01,32970.498
2000-09-01,34184.981
2000-10-01,35344.766
2000-11-01,34762.7
2000-12-01,35585.16
2001-01-01,39492.709
2001-02-01,39174.416
2001-03-01,40301.548
2001-04-01,40378.274
2001-05-01,40622.616
2001-06-01,40819.14
2001-07-01,40882.066
2001-08-01,41230.994
2001-09-01,42862.79
2001-10-01,43424.174
2001-11-01,43930.99
2001-12-01,44813.642
2002-01-01,47287.101
2002-02-01,47120.136
2002-03-01,46259.447
2002-04-01,45143.792
2002-05-01,44975.314
2002-06-01,45585.949
2002-07-01,46114.014
2002-08-01,46547.729
2002-09-01,46687.237
2002-10-01,46144.642
2002-11-01,46846.03
2002-12-01,50673.868
2003-01-01,51582.527
2003-02-01,52027.901
2003-03-01,53952.503
2003-04-01,55104.262
2003-05-01,55763.902
2003-06-01,55265.645
2003-07-01,54202.67
2003-08-01,54008.369
2003-09-01,54860.776
2003-10-01,56234.051
2003-11-01,57314.454
2003-12-01,59028.176
2004-01-01,63019.345
2004-02-01,63126.797
2004-03-01,61659.158
2004-04-01,60371.533
2004-05-01,60344.732
2004-06-01,60476.349
2004-07-01,60343.309
2004-08-01,61097.688
2004-09-01,62276.081
2004-10-01,60975.508
2004-11-01,63756.103
2004-12-01,64197.566
2005-01-01,65076.879
2005-02-01,64063.824
2005-03-01,64110.119
2005-04-01,62810.501
2005-05-01,61932.554
2005-06-01,65602.409
2005-07-01,66487.034
2005-08-01,68227.142
2005-09-01,69980.65
2005-10-01,71202.099
2005-11-01,72786.327
2005-12-01,74110.126
2006-01-01,76802.151
2006-02-01,75624.707
2006-03-01,76023.905
2006-04-01,78455.091
2006-05-01,81459.923
2006-06-01,84945.447
2006-07-01,83063.632
2006-08-01,83708.041
2006-09-01,83453.879
2006-10-01,77578.68
2006-11-01,77069.603
2006-12-01,76330.008
2007-01-01,76842.309
2007-02-01,76668.544
2007-03-01,75850.539
2007-04-01,77576.133
2007-05-01,78011.179
2007-06-01,77933.823
2007-07-01,78244.242
2007-08-01,79490.733
2007-09-01,82168.054
2007-10-01,83740.795
2007-11-01,85548.193
2007-12-01,87211.014
2008-01-01,90782.274
2008-02-01,90352.464
2008-03-01,91133.526
2008-04-01,92798.705
2008-05-01,93955.319
2008-06-01,94045.305
2008-07-01,95495.105
2008-08-01,97121.091
2008-09-01,98863.296
2008-10-01,84969.511
2008-11-01,88718.88
2008-12-01,95301.628
2009-01-01,90403.556
2009-02-01,90175.235
2009-03-01,85636.359
2009-04-01,84194.507
2009-05-01,83173.239
2009-06-01,81476.217
2009-07-01,82214.333
2009-08-01,84645.206
2009-09-01,87806.48
2009-10-01,88656.852
2009-11-01,90699.872
2009-12-01,99892.975
2010-01-01,98671.379
2010-02-01,99973.859
2010-03-01,101606.067
2010-04-01,103805.9
2010-05-01,103861.09
2010-06-01,105559.871
2010-07-01,109555.22
2010-08-01,111548.509
2010-09-01,113687.503
2010-10-01,116266.615
2010-11-01,117412.895
2010-12-01,120587.482
2011-01-01,123525.37
2011-02-01,126449.237
2011-03-01,128261.315
2011-04-01,131262.872
2011-05-01,131174.065
2011-06-01,133893.556
2011-07-01,138498.655
2011-08-01,143408.789
2011-09-01,141087.934
2011-10-01,145747.773
2011-11-01,147186.054
2011-12-01,149208.695
2012-01-01,154115.053
2012-02-01,154996.141
2012-03-01,155949.089
2012-04-01,159340.959
2012-05-01,158607.989
2012-06-01,162720.706
2012-07-01,165127.479
2012-08-01,165358.553
2012-09-01,165590.006
2012-10-01,167390.124
2012-11-01,168285.916
2012-12-01,167050.027
2013-01-01,171252.767
2013-02-01,171741.926
2013-03-01,171298.002
2013-04-01,172700.326
2013-05-01,170096.516
2013-06-01,168901.407
2013-07-01,172812.443
2013-08-01,173520.282
2013-09-01,175002.577
2013-10-01,177161.737
2013-11-01,179189.728
2013-12-01,180200.222
2014-01-01,183004.125
2014-02-01,183763.263
2014-03-01,185466.985
2014-04-01,188841.113
2014-05-01,190594.14
2014-06-01,192539.242
2014-07-01,192892.913
2014-08-01,193373.719
2014-09-01,193331.8
2014-10-01,197026.424
2014-11-01,196718.811
2014-12-01,195681.789
2015-01-01,199161.39
2015-02-01,198221.729
2015-03-01,197765.071
2015-04-01,198320.193
2015-05-01,196455.285
2015-06-01,194305.586
2015-07-01,193336.417
2015-08-01,187163.369
2015-09-01,181928.804
2015-10-01,177125.102
2015-11-01,172678.185
2015-12-01,177596.709
2016-01-01,176321.37
2016-02-01,178408.848
2016-03-01,179708.031
2016-04-01,182118.827
2016-05-01,179351.012
2016-06-01,178829.942
2016-07-01,179651.912
2016-08-01,177835.421
2016-09-01,180498.502
2016-10-01,176852.188
2016-11-01,175909.549
2016-12-01,178025.005
2017-01-01,176687.686
2017-02-01,179746.218
2017-03-01,178703.644
2017-04-01,176748.688
2017-05-01,176115.16
2017-06-01,175395.795
2017-07-01,175282.208
2017-08-01,174702.228
2017-09-01,174888.921
2017-10-01,176441.476
2017-11-01,173967.061
2017-12-01,175449.878
2018-01-01,179314.094
2018-02-01,177615.007
2018-03-01,177601.434
2018-04-01,177213.411
2018-05-01,178410.305
2018-06-01,178008.699
2018-07-01,176620.068
2018-08-01,176501.771
2018-09-01,177039.983
2018-10-01,176584.204
2018-11-01,176573.239
2018-12-01,176384.095
2019-01-01,180350.232
2019-02-01,181007.068
2019-03-01,182071.232
2019-04-01,184661.118
2019-05-01,185417.406
2019-06-01,186209.319
2019-07-01,187954.235
2019-08-01,189351.448
2019-09-01,182915.37
2019-10-01,183719.26
2019-11-01,185289.143
2019-12-01,183027.676
2020-01-01,189157.59
2020-02-01,188405.294
2020-03-01,189779.851
2020-04-01,196145.717
2020-05-01,197396.204
2020-06-01,197054.908
2020-07-01,197893.471
2020-08-01,198640.281
2020-09-01,199815.555
2020-10-01,198720.881
2020-11-01,201287.361
2020-12-01,199056.244
2021-01-01,203185.811
2021-02-01,200218.681
2021-03-01,199301.642
